iso3,year,gdp_growth,unemployment
NRU,2020,1.57480314960559,
NRU,2021,7.75193798449692,
NRU,2022,2.87769784172609,
NZL,2020,-0.307246896026541,4.595
NZL,2021,4.53540565716095,3.776
NZL,2022,3.49638686458842,3.297
OED,2020,-3.88927214744993,7.15060604516315
OED,2021,5.9755204126343,6.1932467809272
OED,2022,3.09501591343316,4.98748164975021
OMN,2020,-3.37972052697999,2.94
OMN,2021,2.5821749892893,1.9
OMN,2022,7.98570728354278,3.3
OSS,2020,-5.79748440207983,9.92399055106642
OSS,2021,8.00516977657277,9.44212639660639
OSS,2022,4.35703581894087,8.78777403836868
PAK,2020,-1.27408744338709,6.127
PAK,2021,6.51388575852702,6.338
PAK,2022,4.7781068690358,5.485
PAN,2020,-17.8212299459324,14.663
PAN,2021,16.4671248604202,10.177
PAN,2022,11.0385475261766,8.086
PER,2020,-10.9333065010382,7.179
PER,2021,13.3626240903125,5.097
PER,2022,2.8090335533015,3.85
PHL,2020,-9.51829474045297,2.522
PHL,2021,5.71473313185116,3.398
PHL,2022,7.58098212785563,2.598
PLW,2020,-6.87233152299699,
PLW,2021,-13.2600319305925,
PLW,2022,1.51267904038146,
PNG,2020,-3.16743204434815,2.883
PNG,2021,-0.511353418578196,3.003
PNG,2022,5.70758404238197,2.689
POL,2020,-2.03556882399977,3.155
POL,2021,6.92718266052501,3.268
POL,2022,5.25545697386036,2.811
PRE,2020,-4.07689259671025,5.96007768628016
PRE,2021,2.36174281983834,5.82347555930522
PRE,2022,4.67657631651602,5.002037370392
PRI,2020,-4.1808743093346,8.89
PRI,2021,0.385222719529239,7.9
PRI,2022,2.95709565499587,6.0
PRK,2020,,2.948
PRK,2021,,3.0
PRK,2022,,2.805
PRT,2020,-8.20463159324387,6.801
PRT,2021,5.55875672070374,6.577
PRT,2022,6.98584137580278,6.011
PRY,2020,-0.819785390945569,7.548
PRY,2021,4.01673731776404,7.311
PRY,2022,0.176038366149214,6.755
PSE,2020,-11.3184661065134,25.895
PSE,2021,7.01198227592003,26.39
PSE,2022,4.08276027347105,24.42
PSS,2020,-10.2494743524661,3.17937127710219
PSS,2021,-2.70502133423179,3.18377728754444
PSS,2022,8.46598449677872,3.26376412674194
PST,2020,-4.06542885568155,6.72755283833562
PST,2021,5.68828382614926,5.80367198892416
PST,2022,2.79274034092423,4.51723738560728
PYF,2020,-10.5738138632489,12.951
PYF,2021,3.36590242421546,12.531
PYF,2022,2.9373470716322,11.888
QAT,2020,-3.55750284254954,0.14
QAT,2021,1.62693587314129,0.14
QAT,2022,4.18497018544697,0.13
ROU,2020,-3.59802546034757,5.035
ROU,2021,5.58735072538869,5.59
ROU,2022,4.18771305104109,5.614
RUS,2020,-2.65365450102773,5.62
RUS,2021,5.86649177292595,4.749
RUS,2022,-1.43588213859842,3.867
RWA,2020,-3.37368746369782,11.829
RWA,2021,10.8584320184896,15.775
RWA,2022,8.16120720872912,15.084
SAS,2020,-4.98750173651176,7.61279541968533
SAS,2021,9.24659959728567,6.31491744065143
SAS,2022,7.10115392630797,4.86939303422721
SAU,2020,-3.80478901996312,7.66
SAU,2021,6.51959698325419,6.621
SAU,2022,12.0005874752929,5.589
SDN,2020,-3.62980082410752,11.958
SDN,2021,-1.8685204827207,11.044
SDN,2022,-0.957816591119183,7.53
SEN,2020,1.3420737726679,3.437
SEN,2021,6.54400109964304,3.44
SEN,2022,3.85043193735768,2.837
SGP,2020,-3.81470885510713,4.1
SGP,2021,9.7568044629903,4.64
SGP,2022,4.10800021897151,3.591
SLB,2020,-3.38125925839405,0.864
SLB,2021,-0.227975292792024,0.884
SLB,2022,-2.58448361755723,1.483
SLE,2020,-1.2533490322766,3.508
SLE,2021,5.8968527047094,3.556
SLE,2022,5.3135546141915,3.175
SLV,2020,-7.893101359867,5.008
SLV,2021,11.9047617015957,4.327
SLV,2022,2.95461516549889,2.999
SMR,2020,-6.64791081780605,
SMR,2021,13.8977895076234,
SMR,2022,7.89844145767604,
SOM,2020,-2.76455696202532,19.413
SOM,2021,3.44719850031242,19.662
SOM,2022,2.71821202053759,19.05
SRB,2020,-0.950023991851594,9.011
SRB,2021,7.94905650472278,9.843
SRB,2022,2.70347705543654,8.439
SSA,2020,-3.68262496685315,7.13766119717959
SSA,2021,3.54849305203753,7.34354021984689
SSA,2022,3.98372703715641,6.5221629747893
SSD,2020,,14.319
SSD,2021,,14.029
SSD,2022,,12.545
SSF,2020,-3.23642852363861,6.803309525677
SSF,2021,3.65270461847631,6.9876633959167
SSF,2022,4.06140756050381,6.19801853183662
SST,2020,-6.92604543465643,9.11283654873109
SST,2021,7.10866076587615,8.72082538333154
SST,2022,7.43586182979632,8.04039111683461
STP,2020,2.62485949543812,9.686
STP,2021,1.89929891337832,9.6
STP,2022,0.168698492216564,8.992
SUR,2020,-15.9751917148622,8.76
SUR,2021,-2.43538583612838,8.491
SUR,2022,2.40622235601218,8.16
SVK,2020,-2.58551241733207,6.719
SVK,2021,5.6558588065555,6.894
SVK,2022,0.544591632137454,6.143
SVN,2020,-4.08500094942896,4.971
SVN,2021,8.41686457725321,4.744
SVN,2022,2.66850555542486,4.011
SWE,2020,-1.93379704032216,8.291
SWE,2021,5.2258643028773,8.722
SWE,2022,1.25543620445816,7.392
SWZ,2020,-2.95183453409287,32.944
SWZ,2021,4.23621913615419,34.153
SWZ,2022,0.386070835562705,35.359
SXM,2020,-13.3167887221567,
SXM,2021,4.57759677933345,
SXM,2022,13.9,
SYC,2020,-11.7398608281732,
SYC,2021,0.552281631207279,
SYC,2022,12.7104688902836,
SYR,2020,-0.697154504235129,15.191
SYR,2021,1.85421590064124,14.877
SYR,2022,0.732781301861365,13.268
TCA,2020,-33.8170973434652,
TCA,2021,29.6293781722414,
TCA,2022,14.0871234168153,
TCD,2020,-0.393646583111035,1.707
TCD,2021,0.29344264815208,1.548
TCD,2022,4.12969897676332,1.096
TEA,2020,1.34509522212088,4.38272643965065
TEA,2021,7.71948799394286,4.13976979107785
TEA,2022,3.54808390633295,4.24554875686717
TEC,2020,-1.45793346533829,7.23984099845427
TEC,2021,7.5909039335849,6.82993701862492
TEC,2022,1.95197902081506,5.68131119463324
TGO,2020,2.16228657424364,2.225
TGO,2021,5.12890113701732,2.333
TGO,2022,6.29443692019429,1.965
THA,2020,-6.05003846851622,1.099
THA,2021,1.55216608426647,1.215
THA,2022,2.58037874709827,0.94
TJK,2020,4.40000111553493,12.321
TJK,2021,9.39999955037523,12.333
TJK,2022,8.00000033846364,11.634
TKM,2020,5.900000048526,4.501
TKM,2021,6.20000001747076,4.459
TKM,2022,6.19999993621698,4.109
TLA,2020,-6.78294271787128,10.3522494542699
TLA,2021,7.26349029603928,9.27350464000943
TLA,2022,4.11782588294029,6.99769011843402
TLS,2020,31.7257429812373,2.782
TLS,2021,5.36980163959615,2.344
TLS,2022,-20.5224785561874,1.537
TMN,2020,-2.56591730467834,9.75371979626131
TMN,2021,4.3128229659946,9.6131462683231
TMN,2022,4.33155082949985,9.0450147693182
TON,2020,1.80618735341196,2.699
TON,2021,-0.934926303735025,2.111
TON,2022,-2.12854452405193,2.302
TSA,2020,-4.98750173651176,7.61279541968533
TSA,2021,9.24659959728567,6.31491744065143
TSA,2022,7.10115392630797,4.86939303422721
TSS,2020,-3.23642852363861,6.803309525677
TSS,2021,3.65270461847631,6.9876633959167
TSS,2022,4.0614075605038,6.19801853183662
TTO,2020,-8.78879817831519,4.206
TTO,2021,-0.716740625909793,4.446
TTO,2022,0.86126082651883,4.383
TUN,2020,-8.97512622934723,17.656
