country,year,stringency_index_mean,cases_pm_mean,deaths_pm_mean,vax_end,iso3,gdp_growth,unemployment
Afghanistan,2020,41.48726775956284,3.552584409556474,0.1486070583360881,,AFG,-2.35110067203466,11.71
Afghanistan,2021,29.24221917808219,7.138411139942466,0.3488557609753425,10.2094,AFG,-20.7388393676343,11.994
Afghanistan,2022,11.415643835616438,3.3417100392082197,0.0332854442356164,28.240557,AFG,-6.24017199240269,14.1
Albania,2020,55.19612021857923,55.67485390867769,1.13987996261708,,ALB,-3.31375636888916,11.69
Albania,2021,48.59090410958904,147.03620969613698,1.9785305259452055,40.36923,ALB,8.96957619074095,11.474
Albania,2022,21.52254794520548,120.01890088372602,0.3720645104931507,47.469105,ALB,4.8268006234359,10.137
Algeria,2020,60.22428961748634,6.015824910272728,0.1666435158071625,,DZA,-4.99999999908597,14.057
Algeria,2021,59.29178082191781,7.152492790684932,0.2120578016383562,15.525818,DZA,3.79999999900707,13.63
Algeria,2022,25.554630136986304,3.203759660290411,0.0367486533315068,17.239624,DZA,3.60000000094915,12.346
Andorra,2020,38.21699453551913,275.85529184848485,2.902648661157025,,AND,-11.1839399355384,
Andorra,2021,49.39364383561644,520.2668313561644,1.9244958383561648,71.60508,AND,8.28677879049404,
Andorra,2022,12.836712328767122,846.4001364657535,0.6185879479452056,72.62863,AND,9.56461225648184,
Angola,2020,58.326912568306014,1.3476850204517905,0.0313091515096418,,AGO,-4.04244724639663,16.69
Angola,2021,58.863068493150685,4.563310529041096,0.1039457472410958,21.56703,AGO,2.10275251923413,15.799
Angola,2022,37.65684931506849,2.176402495791781,0.0133007501287671,42.06572,AGO,4.21600258475137,14.602
Argentina,2020,71.36551912568305,101.57810961833334,2.9285201414132227,0.09556706,ARG,-9.9004848136464,11.461
Argentina,2021,66.84098630136987,247.75138748164383,4.217779963136986,85.5029,ARG,10.4418119882506,8.736
Argentina,2022,19.028904109589043,248.0177095356165,0.7208931354465754,91.238914,ARG,6.02074537534855,6.805
Aruba,2020,45.16516393442623,137.31680420936638,1.2522842479338845,,ABW,-23.8979898352395,
Aruba,2021,42.77775342465753,349.1920529642857,3.355015531506849,78.62457,ABW,14.7306159219273,
Aruba,2022,26.78898630136986,631.3275039342466,2.516261695890411,83.63236,ABW,10.6364309604414,
Australia,2020,55.85450819672131,2.984031593911846,0.0967305249862258,,AUS,-0.133531904304775,6.456
Australia,2021,61.46345205479452,35.36685781789041,0.1592536449315068,78.028915,AUS,2.00694844335034,5.116
Australia,2022,24.249397260273973,1089.4656057534246,1.721884302520548,84.85075,AUS,4.25304559238732,3.728
