country,year,stringency_index_mean,cases_pm_mean,deaths_pm_mean,vax_end,iso3
Afghanistan,2020,41.48726775956284,3.552584409556474,0.14860705833608814,,AFG
Afghanistan,2021,29.24221917808219,7.138411139942466,0.3488557609753425,10.2094,AFG
Afghanistan,2022,11.415643835616438,3.3417100392082193,0.03328544423561643,28.240557,AFG
Albania,2020,55.19612021857923,55.67485390867769,1.13987996261708,,ALB
Albania,2021,48.59090410958904,147.03620969613698,1.9785305259452057,40.36923,ALB
Albania,2022,21.522547945205478,120.01890088372602,0.37206451049315076,47.469105,ALB
Algeria,2020,60.22428961748634,6.015824910272728,0.16664351580716252,,DZA
Algeria,2021,59.29178082191781,7.152492790684932,0.2120578016383562,15.525818,DZA
Algeria,2022,25.554630136986304,3.203759660290411,0.03674865333150685,17.239624,DZA
Andorra,2020,38.21699453551913,275.85529184848485,2.902648661157025,,AND
Andorra,2021,49.39364383561644,520.2668313561644,1.9244958383561646,71.60508,AND
Andorra,2022,12.836712328767122,846.4001364657535,0.6185879479452056,72.62863,AND
Angola,2020,58.326912568306014,1.3476850204517905,0.03130915150964188,,AGO
Angola,2021,58.863068493150685,4.563310529041096,0.10394574724109588,21.56703,AGO
Angola,2022,37.65684931506849,2.176402495791781,0.013300750128767124,42.06572,AGO
Argentina,2020,71.36551912568305,101.57810961833334,2.9285201414132227,0.09556706,ARG
Argentina,2021,66.84098630136987,247.75138748164383,4.217779963136986,85.5029,ARG
Argentina,2022,19.028904109589043,248.01770953561646,0.7208931354465754,91.238914,ARG
Aruba,2020,45.16516393442623,137.31680420936638,1.2522842479338843,,ABW
Aruba,2021,42.77775342465753,349.1920529642857,3.355015531506849,78.62457,ABW
Aruba,2022,26.78898630136986,631.3275039342466,2.516261695890411,83.63236,ABW
Australia,2020,55.85450819672131,2.984031593911846,0.09673052498622589,,AUS
Australia,2021,61.46345205479452,35.36685781789041,0.15925364493150684,78.028915,AUS
Australia,2022,24.249397260273973,1089.4656057534246,1.7218843025205481,84.85075,AUS
Austria,2020,47.06521857923497,107.17500278090908,2.242531263636364,,AUT
Austria,2021,61.62435616438356,275.60597831041093,2.816290578547945,73.99297,AUT
Austria,2022,38.745479452054795,1340.841135890411,1.4921685559178084,76.09498,AUT
Azerbaijan,2020,65.47890710382514,57.95360357198347,0.6890191743250689,,AZE
Azerbaijan,2021,65.46446575342465,106.38388875780822,1.5357443007123288,50.211052,AZE
Azerbaijan,2022,49.016246575342464,55.87304385961643,0.44228158438356163,52.191284,AZE
Bahamas,2020,64.6264480874317,54.44614175977962,1.250779958563536,,BHS
Bahamas,2021,62.12446575342466,114.53256897260273,3.769740376986301,39.502995,BHS
Bahamas,2022,30.100301369863015,89.69501135671233,0.7994330673972602,43.80594,BHS
Bahrain,2020,55.19174863387978,166.03910440385675,0.6323588329201102,3.8242276,BHR
Bahrain,2021,44.102,337.63917213972604,1.861668728630137,78.459564,BHR
Bahrain,2022,14.037671232876713,741.8231767726027,0.25370149780821916,80.939445,BHR
Bangladesh,2020,66.01172131147541,8.351560153135813,0.12293712474325069,,BGD
Bangladesh,2021,64.03383561643835,17.339597035095892,0.33279756466565935,38.867336,BGD
Bangladesh,2022,19.83068493150685,7.304204699460273,0.02212679742356164,88.048386,BGD
Barbados,2020,45.277622950819676,3.6298485663911846,0.06830360110192837,,BRB
Barbados,2021,64.18619178082191,271.11568905424656,2.4551602701369863,55.238663,BRB
Barbados,2022,34.072931506849315,749.2120685561644,2.9888907695890405,58.02553,BRB
Belarus,2020,24.918415300546446,57.76804172022038,0.42463914606060604,0.0,BLR
Belarus,2021,34.249013698630144,150.89722271780823,1.2385638638356165,47.486397,BLR
Belarus,2022,10.904575342465753,88.53536610958905,0.46502146071232875,70.18065,BLR
Belgium,2020,51.53062841530054,152.6929209514325,4.646971121184573,0.0079454975,BEL
Belgium,2021,50.114904109589034,341.5734209178082,2.042472253972603,76.790184,BEL
Belgium,2022,15.462109589041097,609.0921035835617,1.1771455443561645,79.53704,BEL
Belize,2020,58.01418032786885,72.97103994214876,1.6484833561983472,,BLZ
Belize,2021,62.25578082191781,145.57096813479453,2.435235604945055,57.1397,BLZ
Belize,2022,23.751561643835615,258.714794010989,0.6190456441095891,62.5248,BLZ
Benin,2020,37.83986338797814,0.6508898103030303,0.00880933603305785,,BEN
Benin,2021,40.46769863013699,4.339316111780822,0.023296470164383565,12.353524,BEN
Benin,2022,18.200246575342465,0.5857967146027397,0.00039823024657534246,26.870075,BEN
Bermuda,2020,45.509234972677596,25.305972782369146,0.4253104683195592,,BMU
Bermuda,2021,49.38994520547946,242.62132542465753,4.060608,71.317856,BMU
Bermuda,2022,23.29172602739726,519.8847147123288,1.9880060000000002,74.9614,BMU
Bhutan,2020,63.92814207650274,2.363529764738292,0.0,,BTN
Bhutan,2021,58.23676712328766,6.981570220273972,0.010524980547945206,75.52134,BTN
Bhutan,2022,29.849753424657536,210.0470293169863,0.06314988273972603,89.52455,BTN
Bolivia,2020,67.19986338797814,35.78620593429752,2.0837098466115704,,BOL
Bolivia,2021,33.68230136986301,98.65472406849317,2.385347934849315,46.659164,BOL
Bolivia,2022,25.928356164383562,128.03159353808218,0.5991159219178083,60.949844,BOL
Bosnia and Herzegovina,2020,46.82188524590164,95.40177494669423,3.4813460133608816,,BIH
Bosnia and Herzegovina,2021,38.78657534246575,153.43926548575342,8.01707883589041,27.541203,BIH
Bosnia and Herzegovina,2022,30.4173698630137,94.56870426602741,2.39879752739726,29.43689,BIH
