term,coef,se_cluster,t,p,n_obs,r2,n_clusters
Intercept,-3.42418774868484,1.719991567650415,-1.990816590666449,0.04650105472382914,531,0.5945283033999778,177
C(year)[T.2021],9.267100926540028,0.8320295774104527,11.137946508322777,8.198798113776747e-29,531,0.5945283033999778,177
C(year)[T.2022],6.9567189944537215,1.2485990873787223,5.5716194772002305,2.523821921965159e-08,531,0.5945283033999778,177
C(iso3)[T.AFG],-10.085614065926825,0.8175509998545912,-12.336372981894268,5.769695879493084e-35,531,0.5945283033999778,177
C(iso3)[T.AGO],2.1522875449596395,0.9667430315528298,2.226328481005475,0.025992187101626273,531,0.5945283033999778,177
C(iso3)[T.ALB],3.34578218523639,0.49564655651971273,6.750338807414518,1.47500309488734e-11,531,0.5945283033999778,177
C(iso3)[T.AND],0.8792520249148192,0.3280260086499679,2.680433873318433,0.007352679009671647,531,0.5945283033999778,177
C(iso3)[T.ARE],1.8762871904036538,0.7498643902292047,2.5021686785661936,0.012343509936079683,531,0.5945283033999778,177
C(iso3)[T.ARG],1.5924792898399294,0.5224706589244964,3.0479784130233094,0.0023038647679960384,531,0.5945283033999778,177
C(iso3)[T.AUS],2.5507366723117872,0.6718191548822356,3.796760860084304,0.00014659908613554387,531,0.5945283033999778,177
C(iso3)[T.AUT],0.7134245924124671,0.552462549689353,1.2913537629177259,0.19658103585684883,531,0.5945283033999778,177
C(iso3)[T.AZE],3.3234298768163564,0.9933614139465169,3.345640197169257,0.0008209284609687311,531,0.5945283033999778,177
C(iso3)[T.BDI],1.0172881194942105,1.0708727869938093,0.9499616871859976,0.34213172040599515,531,0.5945283033999778,177
C(iso3)[T.BEL],0.2700121027677571,0.07261396111452452,3.7184599025234593,0.00020044110079017386,531,0.5945283033999778,177
C(iso3)[T.BEN],5.888840649782181,0.8014297353703639,7.347918837901338,2.013166707956776e-13,531,0.5945283033999778,177
C(iso3)[T.BFA],2.8861102513472696,0.9660025537261241,2.987683873313573,0.002811001469729359,531,0.5945283033999778,177
C(iso3)[T.BGD],7.0256451114240495,0.9043904518023634,7.768376034292061,7.949875670251726e-15,531,0.5945283033999778,177
C(iso3)[T.BGR],-0.6332299701407413,0.9342257653738455,-0.6778125733744286,0.49789053791842086,531,0.5945283033999778,177
C(iso3)[T.BHR],1.2151758352000535,0.4439033512492755,2.7374783988005245,0.0061912185909460075,531,0.5945283033999778,177
C(iso3)[T.BHS],2.749709748598197,0.621040453763714,4.427585565375059,9.529377430792018e-06,531,0.5945283033999778,177
C(iso3)[T.BIH],-0.15193113182343287,0.824393473171077,-0.18429443799332984,0.8537824770355581,531,0.5945283033999778,177
C(iso3)[T.BLR],-1.9795911243295734,0.7427575754592034,-2.6651914295262604,0.007694450910400625,531,0.5945283033999778,177
C(iso3)[T.BLZ],4.509488449581575,0.5043889757134953,8.940497645101326,3.8742171320274624e-19,531,0.5945283033999778,177
C(iso3)[T.BMU],0.298077853197972,0.16259392694736957,1.8332656009621906,0.06676308233728469,531,0.5945283033999778,177
C(iso3)[T.BOL],-0.16022535882124567,0.44181879590333656,-0.3626494850533715,0.7168667393756945,531,0.5945283033999778,177
C(iso3)[T.BRA],0.3598195033522291,0.465357008858929,0.7732117417432234,0.4393970782867348,531,0.5945283033999778,177
C(iso3)[T.BRB],0.5803061916656631,0.4108952489309237,1.4122971564541487,0.15786248333145503,531,0.5945283033999778,177
C(iso3)[T.BRN],-0.47229868269106406,0.7209184782376646,-0.6551346607811067,0.5123810577835033,531,0.5945283033999778,177
C(iso3)[T.BTN],1.132483932722101,0.9231246340829704,1.2267941845654542,0.2198999571367588,531,0.5945283033999778,177
C(iso3)[T.BWA],2.4800405400495062,0.47998068541073924,5.166959036960484,2.3793338321386264e-07,531,0.5945283033999778,177
C(iso3)[T.CAF],0.35979286911826946,0.8986238504508005,0.40038206078970306,0.6888751351264677,531,0.5945283033999778,177
C(iso3)[T.CAN],2.1215718325091024,0.661920110851752,3.2051780837706922,0.0013497893979633408,531,0.5945283033999778,177
C(iso3)[T.CHE],1.3146870954953662,0.30795893802725466,4.26903373520211,1.9632157809137016e-05,531,0.5945283033999778,177
C(iso3)[T.CHL],1.5118883919968624,0.4812305866793866,3.1417130037998553,0.001679625862336829,531,0.5945283033999778,177
C(iso3)[T.CHN],7.506396445578763,1.5601480013580367,4.811336129036984,1.4992463104378646e-06,531,0.5945283033999778,177
C(iso3)[T.CMR],2.497109390104367,0.7932508351149794,3.1479442309599563,0.0016442305963579925,531,0.5945283033999778,177
C(iso3)[T.COD],5.988357814059162,0.792854479195859,7.552909103991902,4.2564206466395466e-14,531,0.5945283033999778,177
C(iso3)[T.COG],-0.40845056280286435,0.8261289366545028,-0.4944150297614903,0.6210131016157238,531,0.5945283033999778,177
C(iso3)[T.COL],3.0488104772990643,0.5311460485787928,5.740060545412848,9.464270834551744e-09,531,0.5945283033999778,177
C(iso3)[T.CPV],1.2999477025447257,0.694416512446499,1.8719999873921194,0.06120660525597355,531,0.5945283033999778,177
C(iso3)[T.CRI],2.2947572328178842,0.35026800164749233,6.551432680189024,5.698767729789688e-11,531,0.5945283033999778,177
C(iso3)[T.CUB],-2.0183100121066286,0.7050826715417758,-2.862515409282817,0.004202928230109172,531,0.5945283033999778,177
C(iso3)[T.CYP],5.342130030097122,0.6502990983695034,8.214881496055368,2.123738802848747e-16,531,0.5945283033999778,177
